timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/18 22:07:36.025, 66, 9372, 12288, 292.56
2026/09/18 22:07:41.033, 92, 9372, 12288, 291.84
2026/09/18 22:07:46.039, 72, 9372, 12288, 293.71
2026/09/18 22:07:51.039, 0, 9372, 12288, 271.15
2026/09/18 22:07:56.006, 87, 9372, 12288, 292.94
2026/09/18 22:08:00.989, 77, 9372, 12288, 295.40
2026/09/18 22:08:05.979, 69, 9372, 12288, 294.27
2026/09/18 22:08:10.974, 94, 9372, 12288, 291.14
2026/09/18 22:08:15.971, 73, 9372, 12288, 294.65
2026/09/18 22:08:20.968, 79, 9372, 12288, 293.10
2026/09/18 22:08:26.006, 71, 9372, 12288, 291.59
2026/09/18 22:08:31.036, 69, 9372, 12288, 292.86
2026/09/18 22:08:36.052, 90, 9372, 12288, 291.39
2026/09/18 22:08:41.063, 92, 9372, 12288, 293.42
2026/09/18 22:08:46.069, 80, 9372, 12288, 293.21
2026/09/18 22:08:51.074, 70, 9372, 12288, 293.62
2026/09/18 22:08:56.096, 91, 9372, 12288, 138.57
2026/09/18 22:09:01.157, 92, 9372, 12288, 292.31
2026/09/18 22:09:06.189, 72, 9372, 12288, 293.62
2026/09/18 22:09:11.208, 67, 9372, 12288, 291.08
2026/09/18 22:09:16.218, 31, 9372, 12288, 239.26
2026/09/18 22:09:21.225, 91, 9372, 12288, 294.33
2026/09/18 22:09:26.230, 91, 9372, 12288, 292.38
2026/09/18 22:09:31.211, 92, 9372, 12288, 293.52
2026/09/18 22:09:36.188, 0, 9372, 12288, 240.57
2026/09/18 22:09:41.177, 92, 9372, 12288, 293.17
2026/09/18 22:09:46.170, 92, 9372, 12288, 294.04
2026/09/18 22:09:51.166, 73, 9372, 12288, 292.82
2026/09/18 22:09:56.163, 68, 9372, 12288, 292.92
2026/09/18 22:10:01.162, 85, 9372, 12288, 290.88
2026/09/18 22:10:06.100, 91, 9372, 12288, 291.19
2026/09/18 22:10:11.068, 92, 9372, 12288, 292.06
2026/09/18 22:10:16.051, 88, 9372, 12288, 291.76
2026/09/18 22:10:21.041, 75, 9372, 12288, 292.65
2026/09/18 22:10:26.036, 67, 9372, 12288, 293.42
2026/09/18 22:10:31.032, 67, 9372, 12288, 293.71
2026/09/18 22:10:36.030, 66, 9372, 12288, 292.64
2026/09/18 22:10:41.028, 6, 9372, 12288, 131.62
2026/09/18 22:10:46.027, 72, 9372, 12288, 293.43
2026/09/18 22:10:51.025, 68, 9372, 12288, 290.87
2026/09/18 22:10:56.024, 87, 9372, 12288, 293.42
2026/09/18 22:11:01.023, 0, 9372, 12288, 246.10
2026/09/18 22:11:06.021, 92, 9372, 12288, 293.42
2026/09/18 22:11:11.023, 75, 9372, 12288, 293.28
2026/09/18 22:11:16.023, 68, 9372, 12288, 292.72
2026/09/18 22:11:21.024, 0, 9372, 12288, 256.84
2026/09/18 22:11:26.024, 72, 9372, 12288, 294.70
2026/09/18 22:11:31.024, 72, 9372, 12288, 293.99
2026/09/18 22:11:36.023, 94, 9372, 12288, 294.07
2026/09/18 22:11:41.023, 73, 9372, 12288, 293.47
2026/09/18 22:11:46.022, 71, 9372, 12288, 293.67
2026/09/18 22:11:51.022, 66, 9372, 12288, 292.85
2026/09/18 22:11:56.022, 68, 9372, 12288, 292.70
2026/09/18 22:12:01.021, 92, 9372, 12288, 293.47
2026/09/18 22:12:06.021, 67, 9372, 12288, 294.12
2026/09/18 22:12:11.020, 92, 9372, 12288, 292.94
2026/09/18 22:12:16.162, 72, 9372, 12288, 291.95
2026/09/18 22:12:21.235, 90, 9372, 12288, 295.60
2026/09/18 22:12:26.274, 90, 9372, 12288, 293.03
2026/09/18 22:12:31.296, 71, 9372, 12288, 293.41
2026/09/18 22:12:36.308, 92, 9372, 12288, 295.85
2026/09/18 22:12:41.317, 77, 9372, 12288, 294.38
2026/09/18 22:12:46.316, 90, 9372, 12288, 163.22
2026/09/18 22:12:51.308, 87, 9372, 12288, 293.52
2026/09/18 22:12:56.302, 70, 9372, 12288, 293.48
2026/09/18 22:13:01.299, 86, 9372, 12288, 293.11
2026/09/18 22:13:06.296, 90, 9372, 12288, 246.07
2026/09/18 22:13:11.295, 72, 9372, 12288, 294.18
2026/09/18 22:13:16.295, 69, 9372, 12288, 289.85
2026/09/18 22:13:21.294, 82, 9372, 12288, 293.76
2026/09/18 22:13:26.295, 91, 9372, 12288, 243.36
2026/09/18 22:13:31.295, 90, 9372, 12288, 294.14
2026/09/18 22:13:36.296, 64, 9372, 12288, 291.35
2026/09/18 22:13:41.297, 72, 9372, 12288, 293.59
2026/09/18 22:13:46.297, 91, 9372, 12288, 238.91
2026/09/18 22:13:51.264, 88, 9372, 12288, 293.86
2026/09/18 22:13:56.197, 79, 9372, 12288, 294.06
2026/09/18 22:14:01.163, 67, 9372, 12288, 294.67
